close,high,ignore,low,open,close_time,number_of_trades,open_time,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,volume
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069318999,5,1707069318000,2305.04601570,0.00015000,6.43508250,0.05373000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069319999,1,1707069319000,13.29917050,0.00031000,13.29917050,0.00031000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069320999,5,1707069320000,1833.99827960,0.01946000,834.84470300,0.04275000,
42900.55000000,42900.55000000,0,42900.54000000,42900.55000000,1707069321999,8,1707069321000,561.56818640,0.01178000,505.36847900,0.01309000,
42900.55000000,42900.55000000,0,42900.54000000,42900.55000000,1707069322999,6,1707069322000,595.03050680,0.00170000,72.93093500,0.01387000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069323999,1,1707069323000,5.57707150,0.00013000,5.57707150,0.00013000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069324999,19,1707069324000,21674.21587100,0.50522000,21674.21587100,0.50522000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069325999,4,1707069325000,408.84216120,0.00150000,64.35082500,0.00953000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069326999,1,1707069326000,2234.26064400,0.05208000,2234.26064400,0.05208000,
42900.55000000,42900.55000000,0,42900.54000000,42900.55000000,1707069327999,7,1707069327000,297.30080680,0.00646000,277.13755300,0.00693000,
42900.55000000,42900.55000000,0,42900.54000000,42900.55000000,1707069328999,4,1707069328000,192.62346790,0.00433000,185.75938150,0.00449000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069329999,4,1707069329000,694.13088490,0.01477000,633.64112350,0.01618000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069330999,11,1707069330000,2586.04458100,0.00298000,127.84363900,0.06028000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069331999,3,1707069331000,219.22175940,0.00000000,0.00000000,0.00511000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069332999,5,1707069332000,3190.51390350,0.07437000,3190.51390350,0.07437000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069333999,2,1707069333000,48.90661560,0.00000000,0.00000000,0.00114000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069334999,12,1707069334000,21476.44432940,0.50000000,21450.27500000,0.50061000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069335999,2,1707069335000,732.31238850,0.01707000,732.31238850,0.01707000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069336999,3,1707069336000,386.53386690,0.00015000,6.43508250,0.00901000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069337999,3,1707069337000,871.31017050,0.02031000,871.31017050,0.02031000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069338999,3,1707069338000,651.23024900,0.00518000,222.22484900,0.01518000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069339999,3,1707069339000,90.94916380,0.00190000,81.51104500,0.00212000,
42900.55000000,42900.55000000,0,42900.55000000,42900.55000000,1707069340999,1,1707069340000,181.89833200,0.00424000,181.89833200,0.00424000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069341999,1,1707069341000,51.05164260,0.00000000,0.00000000,0.00119000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069342999,3,1707069342000,456.03274820,0.00080000,34.32044000,0.01063000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069343999,3,1707069343000,50.62263720,0.00000000,0.00000000,0.00118000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069344999,15,1707069344000,34327.73011280,0.50210000,21540.36615500,0.80017000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069345999,5,1707069345000,3798.41381160,0.00000000,0.00000000,0.08854000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069346999,3,1707069346000,455.60374590,0.00111000,47.61961050,0.01062000,
42900.55000000,42900.55000000,0,42900.54000000,42900.54000000,1707069347999,10,1707069347000,335.05321860,0.00012000,5.14806600,0.00781000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069348999,6,1707069348000,1856.30673760,0.03718000,1595.04244900,0.04327000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069349999,0,1707069349000,0.00000000,0.00000000,0.00000000,0.00000000,
42900.54000000,42900.54000000,0,42900.54000000,42900.54000000,1707069350999,1,1707069350000,1538.84236980,0.00000000,0.00000000,0.03587000,
42900.54000000,42900.55000000,0,42900.54000000,42900.54000000,1707069351999,4,1707069351000,98.24224470,0.00081000,34.74944550,0.00229000,
42900.55000000,42900.55000000,0,42900.54000000,42900.55000000,1707069352999,7,1707069352000,4131.75190610,0.08987000,3855.47242850,0.09631000,
42900.54000000,42900.55000000,0,42900.54000000,42900.55000000,1707069353999,4,1707069353000,1707.44149500,0.00030000,12.87016500,0.03980000,
42907.18000000,42907.18000000,0,42900.55000000,42900.55000000,1707069354999,107,1707069354000,82375.16470220,1.88415000,80835.65544260,1.92003000,
42907.18000000,42907.18000000,0,42907.17000000,42907.18000000,1707069355999,13,1707069355000,12150.88350420,0.20319000,8718.30990420,0.28319000,
42913.20000000,42913.20000000,0,42907.18000000,42907.18000000,1707069356999,71,1707069356000,45065.44254110,1.05026000,45065.44254110,1.05026000,
42913.19000000,42913.20000000,0,42913.19000000,42913.20000000,1707069357999,8,1707069357000,4735.04246290,0.10783000,4627.33035600,0.11034000,
42908.00000000,42913.20000000,0,42908.00000000,42913.20000000,1707069358999,804,1707069358000,174077.75021850,0.00093000,39.90927600,4.05662000,
42908.01000000,42908.01000000,0,42908.00000000,42908.00000000,1707069359999,26,1707069359000,1902.54095620,0.02362000,1013.48719620,0.04434000,
42908.00000000,42908.01000000,0,42908.00000000,42908.01000000,1707069360999,21,1707069360000,1505.21288370,0.02437000,1045.66820370,0.03508000,
42904.13000000,42908.01000000,0,42904.12000000,42908.00000000,1707069361999,103,1707069361000,41324.12697900,0.00250000,107.26936710,0.96310000,
42904.14000000,42904.14000000,0,42904.14000000,42904.14000000,1707069362999,2,1707069362000,63.92716860,0.00149000,63.92716860,0.00149000,
42904.13000000,42904.13000000,0,42904.13000000,42904.13000000,1707069363999,1,1707069363000,499.40407320,0.00000000,0.00000000,0.01164000,
42904.14000000,42904.14000000,0,42904.13000000,42904.13000000,1707069364999,10,1707069364000,22519.52494860,0.51942000,22285.26839880,0.52488000,
42904.13000000,42904.14000000,0,42904.13000000,42904.14000000,1707069365999,8,1707069365000,1653.52529090,0.01207000,517.85296980,0.03854000,
42904.14000000,42904.14000000,0,42904.13000000,42904.14000000,1707069366999,3,1707069366000,36.89755610,0.00043000,18.44878020,0.00086000,
42904.14000000,42904.14000000,0,42904.13000000,42904.13000000,1707069367999,4,1707069367000,375.84023880,0.00600000,257.42484000,0.00876000,
42904.14000000,42904.14000000,0,42904.14000000,42904.14000000,1707069368999,1,1707069368000,20.16494580,0.00047000,20.16494580,0.00047000,
42904.13000000,42904.14000000,0,42904.13000000,42904.14000000,1707069369999,2,1707069369000,139.00940970,0.00285000,122.27679900,0.00324000,
42904.13000000,42904.14000000,0,42904.13000000,42904.14000000,1707069370999,3,1707069370000,208.51409940,0.00276000,118.41542640,0.00486000,
42904.13000000,42904.14000000,0,42904.13000000,42904.13000000,1707069371999,17,1707069371000,8089.57558140,0.18699000,8022.64513860,0.18855000,
42904.14000000,42904.14000000,0,42904.13000000,42904.13000000,1707069372999,4,1707069372000,426.03806360,0.00527000,226.10481780,0.00993000,
42904.14000000,42904.14000000,0,42904.13000000,42904.13000000,1707069373999,2,1707069373000,60.06578770,0.00057000,24.45535980,0.00140000,
42904.13000000,42904.14000000,0,42904.13000000,42904.14000000,1707069374999,21,1707069374000,21919.72509990,0.50829000,21807.74532060,0.51090000,
42904.13000000,42904.13000000,0,42904.13000000,42904.13000000,1707069375999,1,1707069375000,80.23072310,0.00000000,0.00000000,0.00187000,
42904.14000000,42904.14000000,0,42904.14000000,42904.14000000,1707069376999,3,1707069376000,93.96006660,0.00219000,93.96006660,0.00219000,
42904.13000000,42904.14000000,0,42904.13000000,42904.14000000,1707069377999,2,1707069377000,214.52065380,0.00038000,16.30357320,0.00500000,
42904.13000000,42904.14000000,0,42904.13000000,42904.13000000,1707069378999,5,1707069378000,2144.77746920,0.00105000,45.04934700,0.04999000,
42904.13000000,42904.13000000,0,42904.13000000,42904.13000000,1707069379999,2,1707069379000,108.11840760,0.00000000,0.00000000,0.00252000,
42904.13000000,42904.14000000,0,42904.13000000,42904.14000000,1707069380999,2,1707069380000,59.63675070,0.00100000,42.90414000,0.00139000,
42904.14000000,42904.14000000,0,42904.13000000,42904.13000000,1707069381999,2,1707069381000,539.30498010,0.00660000,283.16732400,0.01257000,
42904.14000000,42904.14000000,0,42904.14000000,42904.14000000,1707069382999,1,1707069382000,499.83323100,0.01165000,499.83323100,0.01165000,
42904.14000000,42904.14000000,0,42904.14000000,42904.14000000,1707069383999,2,1707069383000,120.13159200,0.00280000,120.13159200,0.00280000,
42904.14000000,42904.14000000,0,42904.14000000,42904.14000000,1707069384999,4,1707069384000,21452.07000000,0.50000000,21452.07000000,0.50000000,
42904.14000000,42904.14000000,0,42904.13000000,42904.13000000,1707069385999,4,1707069385000,1396.52945410,0.00226000,96.96335640,0.03255000,
42904.14000000,42904.14000000,0,42904.13000000,42904.13000000,1707069386999,2,1707069386000,66.93045350,0.00107000,45.90742980,0.00156000,
42904.13000000,42904.13000000,0,42904.13000000,42904.13000000,1707069387999,3,1707069387000,101.68278810,0.00000000,0.00000000,0.00237000,
