close,high,ignore,low,open,close_time,number_of_trades,open_time,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,volume
42889.75000000,42889.75000000,0,42883.66000000,42883.67000000,1707042419999,282,1707042360000,180932.56035220,3.68183000,157897.61077890,4.21895000,
42905.56000000,42905.56000000,0,42889.74000000,42889.74000000,1707042479999,338,1707042420000,299532.10761080,3.81462000,163643.36712700,6.98199000,
42927.18000000,42927.19000000,0,42905.55000000,42905.55000000,1707042539999,380,1707042480000,384483.05498440,7.81579000,335401.75152650,8.95949000,
42935.76000000,42935.77000000,0,42927.18000000,42927.18000000,1707042599999,366,1707042540000,381459.26186590,3.36851000,144605.71555880,8.88604000,
42943.39000000,42943.39000000,0,42935.76000000,42935.77000000,1707042659999,339,1707042600000,179405.80030100,3.17858000,136484.57713420,4.17816000,
42943.38000000,42943.39000000,0,42943.38000000,42943.39000000,1707042719999,328,1707042660000,112820.42373380,0.52316000,22466.26391240,2.62719000,
42919.43000000,42943.39000000,0,42919.42000000,42943.38000000,1707042779999,563,1707042720000,570556.97191270,1.15958000,49785.04466230,13.28956000,
42922.89000000,42922.90000000,0,42915.41000000,42919.43000000,1707042839999,355,1707042780000,297142.18266000,4.94673000,212302.48463560,6.92343000,
42922.85000000,42922.90000000,0,42922.85000000,42922.89000000,1707042899999,262,1707042840000,169186.15264340,1.07493000,46139.11170820,3.94163000,
42922.86000000,42922.86000000,0,42922.85000000,42922.86000000,1707042959999,201,1707042900000,77619.10996190,0.33929000,14563.29716940,1.80834000,
42922.86000000,42922.86000000,0,42922.85000000,42922.85000000,1707043019999,202,1707042960000,60268.40671670,0.38032000,16324.42211520,1.40411000,
42912.43000000,42922.86000000,0,42911.05000000,42922.86000000,1707043079999,380,1707043020000,232046.43664370,1.51112000,64845.69091090,5.40708000,
42903.29000000,42916.08000000,0,42903.28000000,42912.44000000,1707043139999,345,1707043080000,285300.94073980,1.18387000,50803.55335320,6.64813000,
42903.26000000,42903.29000000,0,42903.26000000,42903.28000000,1707043199999,197,1707043140000,68132.97561500,0.31172000,13373.81217940,1.58806000,
42916.00000000,42916.00000000,0,42903.26000000,42903.26000000,1707043259999,325,1707043200000,214401.26630970,4.03545000,173153.49619840,4.99661000,
42915.99000000,42916.00000000,0,42915.99000000,42915.99000000,1707043319999,202,1707043260000,42608.28791470,0.55630000,23874.17080000,0.99283000,
42920.54000000,42920.55000000,0,42915.99000000,42916.00000000,1707043379999,227,1707043320000,240184.27739920,4.74791000,203766.74033960,5.59643000,
42920.53000000,42920.54000000,0,42920.53000000,42920.53000000,1707043439999,188,1707043380000,66692.49981190,0.50661000,21743.97476940,1.55386000,
42920.57000000,42920.57000000,0,42920.53000000,42920.54000000,1707043499999,221,1707043440000,311035.31080140,2.03649000,87407.28192810,7.24677000,
42916.00000000,42920.57000000,0,42915.99000000,42920.56000000,1707043559999,334,1707043500000,316206.53234270,0.49738000,21345.68956300,7.36741000,
42910.34000000,42916.00000000,0,42910.34000000,42915.99000000,1707043619999,267,1707043560000,207832.04744910,0.47304000,20298.89012850,4.84304000,
42884.00000000,42910.35000000,0,42883.70000000,42910.34000000,1707043679999,508,1707043620000,668210.30389750,0.51542000,22114.28886380,15.57685000,
42872.31000000,42886.07000000,0,42872.30000000,42886.07000000,1707043739999,397,1707043680000,449263.15490300,3.18032000,136370.35588830,10.47746000,
42888.59000000,42888.59000000,0,42872.30000000,42872.30000000,1707043799999,484,1707043740000,685566.63084200,8.84314000,379172.43288360,15.98730000,
42891.89000000,42891.90000000,0,42888.58000000,42888.58000000,1707043859999,245,1707043800000,100294.19956360,1.80546000,77434.39081580,2.33845000,
42906.39000000,42906.39000000,0,42891.89000000,42891.89000000,1707043919999,335,1707043860000,186608.46779790,3.98652000,171004.53849370,4.35028000,
