close,high,ignore,low,open,close_time,number_of_trades,open_time,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,volume
42565.26000000,42761.10000000,0,42540.00000000,42750.89000000,1705316399999,47781,1705312800000,39076545.85583750,417.22223000,17794816.21121590,916.19805000,
42697.99000000,42703.95000000,0,42542.00000000,42565.25000000,1705319999999,44356,1705316400000,36115868.01094510,418.01969000,17813156.79648690,847.57790000,
42663.79000000,42715.99000000,0,42570.00000000,42698.00000000,1705323599999,71164,1705320000000,52021263.40717560,607.39793000,25912588.52970450,1219.39859000,
42852.54000000,42958.03000000,0,42614.12000000,42663.79000000,1705327199999,71435,1705323600000,68908286.91623940,838.02827000,35852506.23259500,1610.94481000,
42199.00000000,42868.53000000,0,42172.14000000,42852.55000000,1705330799999,141425,1705327200000,153987757.89243160,1749.86686000,74244038.25063560,3628.83988000,
42278.99000000,42473.99000000,0,42163.32000000,42199.01000000,1705334399999,91983,1705330800000,90427494.33939470,1121.78885000,47476556.35527600,2136.55160000,
42522.61000000,42549.00000000,0,42249.00000000,42278.99000000,1705337999999,57874,1705334400000,47550252.50353810,627.94266000,26630617.63520450,1121.26001000,
42696.58000000,42779.78000000,0,42521.10000000,42522.60000000,1705341599999,60358,1705338000000,54635447.74628760,621.15357000,26505633.80634850,1280.44041000,
43015.82000000,43400.43000000,0,42696.57000000,42696.57000000,1705345199999,302218,1705341600000,340755211.90519600,3496.84512000,150887306.55669450,7891.28853000,
42992.67000000,43133.80000000,0,42825.84000000,43015.82000000,1705348799999,84396,1705345200000,87630743.46712740,996.74754000,42852949.02341310,2038.31756000,
42960.00000000,43114.45000000,0,42850.00000000,42992.67000000,1705352399999,51410,1705348800000,53579092.70955380,589.07810000,25338185.13982840,1245.90158000,
42716.00000000,42960.00000000,0,42710.00000000,42959.99000000,1705355999999,42115,1705352400000,39424139.00718160,446.01729000,19099218.98177420,920.68651000,
42628.00000000,42818.31000000,0,42342.18000000,42716.00000000,1705359599999,77507,1705356000000,78771467.93213090,872.71986000,37158146.15968910,1850.23943000,
42511.10000000,42639.99000000,0,42474.00000000,42628.00000000,1705363199999,52454,1705359600000,55395593.78155420,633.27021000,26950899.38627100,1301.68577000,
42600.00000000,42674.00000000,0,42466.88000000,42511.10000000,1705366799999,45056,1705363200000,42901203.03885740,549.01107000,23382842.38231720,1007.25697000,
42584.34000000,42726.97000000,0,42555.00000000,42600.01000000,1705370399999,51073,1705366800000,37321983.43840630,481.01387000,20504403.47886240,875.50468000,
42710.00000000,42732.45000000,0,42553.96000000,42584.34000000,1705373999999,40061,1705370400000,41256720.59898200,570.86601000,24353297.24981690,967.07632000,
42924.56000000,42939.50000000,0,42702.00000000,42710.00000000,1705377599999,63720,1705374000000,50322825.68893680,693.49291000,29688630.84801840,1175.44142000,
42803.19000000,42946.05000000,0,42755.33000000,42924.57000000,1705381199999,43590,1705377600000,39313316.32988330,413.89934000,17734788.16086850,917.47192000,
42773.82000000,42931.33000000,0,42768.00000000,42803.18000000,1705384799999,46095,1705381200000,34888707.79236550,404.56730000,17339317.21590360,814.04215000,
42741.09000000,42780.00000000,0,42646.89000000,42773.82000000,1705388399999,38711,1705384800000,41176813.59868920,438.44566000,18727302.59311090,963.99198000,
42791.13000000,42791.14000000,0,42606.92000000,42741.10000000,1705391999999,36211,1705388400000,40695032.14813990,572.83028000,24470091.89452770,952.74344000,
43014.53000000,43022.00000000,0,42720.06000000,42791.14000000,1705395599999,50474,1705392000000,60974313.28004340,798.66090000,34246108.13319760,1421.99021000,
42940.01000000,43153.66000000,0,42896.41000000,43014.53000000,1705399199999,78104,1705395600000,75808623.78838270,879.49396000,37836983.34769980,1762.34779000,
42872.00000000,42971.10000000,0,42851.45000000,42940.01000000,1705402799999,42455,1705399200000,35315410.29659350,400.11847000,17162928.65342800,823.26434000,
42900.54000000,42945.54000000,0,42753.55000000,42872.01000000,1705406399999,43344,1705402800000,36069095.12280970,439.78097000,18848453.65880810,841.64338000,
43156.12000000,43166.00000000,0,42857.32000000,42900.55000000,1705409999999,63187,1705406400000,48826840.77403360,650.78086000,28004591.17381140,1134.71946000,
42805.83000000,43174.48000000,0,42700.00000000,43156.11000000,1705413599999,71479,1705410000000,75297234.86351520,850.64330000,36540631.96582330,1752.96929000,
42690.00000000,42954.00000000,0,42050.00000000,42805.83000000,1705417199999,214623,1705413600000,403634554.02955310,5617.32261000,238144315.64382700,9514.26629000,
43252.67000000,43314.73000000,0,42543.01000000,42690.00000000,1705420799999,199971,1705417200000,239197734.37507700,3028.30284000,130138475.98393780,5566.03085000,
43249.72000000,43434.00000000,0,43011.10000000,43252.45000000,1705424399999,138098,1705420800000,152771351.99759320,1807.11275000,78088287.42803450,3535.61086000,
43051.74000000,43249.72000000,0,43031.00000000,43249.72000000,1705427999999,58359,1705424400000,64497246.86328010,741.55193000,31976980.44477970,1495.67672000,
43013.00000000,43157.85000000,0,42834.29000000,43051.74000000,1705431599999,65439,1705428000000,66114673.05258090,728.88164000,31342933.44488200,1537.50667000,
43166.11000000,43182.56000000,0,42949.00000000,43013.00000000,1705435199999,68211,1705431600000,49790144.72444350,575.70071000,24813665.66332550,1155.16262000,
43200.01000000,43370.11000000,0,43060.69000000,43166.10000000,1705438799999,79015,1705435200000,100691062.74568700,1242.55140000,53695456.03286530,2329.86499000,
43434.71000000,43578.01000000,0,43185.01000000,43200.01000000,1705442399999,96284,1705438800000,100082559.79813870,1221.21543000,53030024.57916370,2305.15993000,
43206.00000000,43496.05000000,0,43202.00000000,43434.71000000,1705445999999,38878,1705442400000,41970825.47593900,395.56836000,17144812.35284680,968.43985000,
43137.95000000,43286.00000000,0,43112.00000000,43206.00000000,1705449599999,44142,1705446000000,53028876.23713920,562.74410000,24310119.60535240,1227.56376000,
43092.00000000,43175.99000000,0,43050.01000000,43137.94000000,1705453199999,37378,1705449600000,40459566.51692230,453.71396000,19556963.39877900,938.65364000,
42970.00000000,43198.00000000,0,42960.64000000,43092.00000000,1705456799999,36427,1705453200000,37418991.27920610,422.54689000,18212163.55400480,868.43470000,
42997.25000000,43061.10000000,0,42918.11000000,42970.01000000,1705460399999,32257,1705456800000,45946208.58125190,412.77928000,17749442.86659160,1068.46920000,
42849.00000000,43025.71000000,0,42844.98000000,42997.26000000,1705463999999,31067,1705460400000,35920552.26949000,359.71317000,15450074.41629060,836.39500000,
42854.01000000,42921.10000000,0,42781.49000000,42849.00000000,1705467599999,32838,1705464000000,33911017.90652090,411.79546000,17645450.01201050,791.39640000,
42783.39000000,42925.49000000,0,42765.41000000,42854.01000000,1705471199999,30696,1705467600000,28333635.53425060,324.66714000,13912609.78380640,661.25196000,
42806.05000000,42876.34000000,0,42766.00000000,42783.39000000,1705474799999,28881,1705471200000,34360257.69945620,425.46410000,18221380.54723370,802.28142000,
42655.94000000,42851.10000000,0,42619.60000000,42806.05000000,1705478399999,46737,1705474800000,58019581.23478440,629.23223000,26898591.79560370,1357.30632000,
